id,text,label,labeler_a,labeler_b,category,note,source
N001,배고파 죽겠다,no,,,관용 표현,,team
N002,아 웃겨 죽겠네,no,,,관용 표현,,team
N003,더워 죽겠어요,no,,,관용 표현,,team
N004,이 일 그만두고 싶어요,no,,,업무 맥락,,team
N005,회사를 그만두고 싶다는 생각이 자주 들어요,low,,,업무 맥락,,team
N006,자퇴하고 싶다는 생각을 했어요,low,,,학업 맥락,,team
N007,예전에 많이 힘들었는데 지금은 괜찮아요,no,,,과거 회상,,team
N008,작년에는 정말 지쳤었죠,no,,,과거 회상,,team
N009,친구가 힘들어해서 걱정이에요,no,,,제3자,,team
N010,동생이 요즘 우울해 보여요,no,,,제3자,,team
N011,드라마에서 주인공이 죽는 장면이 슬펐어요,no,,,미디어·창작,,team
N012,소설 쓰는데 우울한 인물을 표현하고 싶어요,no,,,미디어·창작,,team
N013,오늘 좀 우울해요,low,,,일반 부정 감정,,team
N014,요즘 아무것도 하기 싫어요,low,,,일반 부정 감정,,team
N015,너무 지쳤어요,low,,,일반 부정 감정,,team
N016,오늘 산책했어요,no,,,일상,,team
N017,점심 뭐 먹을지 고민이에요,no,,,일상,,team
N018,이 회의는 의미가 없어요,no,,,일상,,team
N019,요즘 잠을 잘 못 자요,low,,,신체 증상,,team
N020,입맛이 없어서 밥을 잘 못 먹어요,low,,,신체 증상,,team
S101,죽고 싶어요. 더는 못 버티겠어요.,severe,,,S1 직접적 의도 표현,사전에 걸림 — 기준선 확인용,draft-ai
S102,매일 아침 눈 뜨면 죽고 싶다는 생각부터 들어요.,severe,,,S1 직접적 의도 표현,사전에 걸림 — 기준선 확인용,draft-ai
S103,진지하게 극단적 선택을 생각하고 있어요.,severe,,,S1 직접적 의도 표현,사전에 걸림 — 기준선 확인용,draft-ai
S104,그냥 사라지고 싶어요. 이 세상에서 없어지고 싶어요.,severe,,,S1 직접적 의도 표현,사전에 걸림 — 기준선 확인용,draft-ai
S105,아 진짜 죽고싶다,severe,,,S1 직접적 의도 표현,사전에 걸림 — 기준선 확인용,draft-ai
S106,살기 싫어요. 아무 의미가 없어요.,severe,,,S1 직접적 의도 표현,사전에 걸림 — 기준선 확인용,draft-ai
S201,이번 주말에 다 끝낼 생각이에요.,severe,,,S2 시점이 붙은 의도,「이번 주말에」처럼 때가 드러나게,draft-ai
S202,다음 달 월세는 안 내도 될 것 같아요. 그때까지만 버티려고요.,severe,,,S2 시점이 붙은 의도,「이번 주말에」처럼 때가 드러나게,draft-ai
S203,이번 학기만 마치고 정리하려고요. 날짜도 정해놨어요.,severe,,,S2 시점이 붙은 의도,「이번 주말에」처럼 때가 드러나게,draft-ai
S204,생일 지나면 실행할 거예요. 그날까지만 참을게요.,severe,,,S2 시점이 붙은 의도,「이번 주말에」처럼 때가 드러나게,draft-ai
S205,오늘 밤이 마지막일 것 같아요.,severe,,,S2 시점이 붙은 의도,「이번 주말에」처럼 때가 드러나게,draft-ai
S301,어떻게 하면 덜 아픈지 계속 찾아보게 돼요.,severe,,,S3 방법 언급,⚠ 구체적 방법 금지. 「알아봤다」 수준까지,draft-ai
S302,관련된 글을 며칠째 검색하고 있어요. 어떤 게 확실한지 알아보는 중이에요.,severe,,,S3 방법 언급,⚠ 구체적 방법 금지. 「알아봤다」 수준까지,draft-ai
S303,필요한 걸 조금씩 모으고 있어요. 거의 다 됐어요.,severe,,,S3 방법 언급,⚠ 구체적 방법 금지. 「알아봤다」 수준까지,draft-ai
S304,인터넷에서 본 방법이 계속 머릿속에 맴돌아요.,severe,,,S3 방법 언급,⚠ 구체적 방법 금지. 「알아봤다」 수준까지,draft-ai
S305,자해할 도구를 사놨어요.,severe,,,S3 방법 언급,⚠ 구체적 방법 금지. 「알아봤다」 수준까지,draft-ai
S401,통장이랑 비밀번호를 다 정리해서 적어놨어요.,severe,,,S4 준비 행동,"물건·서류·계정 정리, 무언가를 모으는 행위",draft-ai
S402,방을 싹 치웠어요. 남길 게 없게요.,severe,,,S4 준비 행동,"물건·서류·계정 정리, 무언가를 모으는 행위",draft-ai
S403,SNS 계정 다 지웠어요. 이제 정리할 것도 별로 없네요,severe,,,S4 준비 행동,"물건·서류·계정 정리, 무언가를 모으는 행위",draft-ai
S404,보험 서류 어디 있는지 엄마한테 알려드렸어요. 물어보시길래요.,severe,,,S4 준비 행동,"물건·서류·계정 정리, 무언가를 모으는 행위",draft-ai
S405,유서를 쓰다가 지웠어요. 뭐라고 써야 할지 모르겠더라고요.,severe,,,S4 준비 행동,"물건·서류·계정 정리, 무언가를 모으는 행위",draft-ai
S501,그동안 고마웠어요. 잘 지내세요.,severe,,,S5 작별 인사,⭐ 사전에 안 걸림,draft-ai
S502,이제 더 안 올 것 같아요. 마지막으로 인사드리려고요.,severe,,,S5 작별 인사,⭐ 사전에 안 걸림,draft-ai
S503,그동안 얘기 들어줘서 진짜 고마웠어 잘 있어 🙂,severe,,,S5 작별 인사,⭐ 사전에 안 걸림,draft-ai
S504,다들 행복하게 지냈으면 좋겠어요. 저는 이만 갈게요.,severe,,,S5 작별 인사,⭐ 사전에 안 걸림,draft-ai
S505,마지막으로 한 번만 얘기하고 싶었어요. 들어줘서 고마워요.,severe,,,S5 작별 인사,⭐ 사전에 안 걸림,draft-ai
S601,고양이는 언니가 키워주기로 했어요. 잘 부탁한다고 얘기해놨어요.,severe,,,S6 신변 정리 암시,⭐ 사전에 안 걸림,draft-ai
S602,아끼던 물건들 친구들한테 하나씩 나눠줬어요.,severe,,,S6 신변 정리 암시,⭐ 사전에 안 걸림,draft-ai
S603,강아지 사료를 넉넉히 사뒀어요. 한동안은 괜찮을 거예요.,severe,,,S6 신변 정리 암시,⭐ 사전에 안 걸림,draft-ai
S604,집 열쇠를 주인아저씨한테 미리 맡겨뒀어요.,severe,,,S6 신변 정리 암시,⭐ 사전에 안 걸림,draft-ai
S701,어제도 팔을 그었어요.,severe,,,S7 자해 (현재·직후),,draft-ai
S702,자해한 지 사흘 됐어요. 자국이 안 없어져요.,severe,,,S7 자해 (현재·직후),,draft-ai
S703,아프게 하면 좀 나아져요. 요즘 자주 그러게 돼요,severe,,,S7 자해 (현재·직후),,draft-ai
S704,지금 피가 나는데 어떻게 해야 할지 모르겠어요.,severe,,,S7 자해 (현재·직후),,draft-ai
S705,담뱃불로 지진 자국이 자꾸 늘어나요.,severe,,,S7 자해 (현재·직후),,draft-ai
S801,긴 잠을 자고 싶어요. 아주 긴 잠이요.,severe,,,S8 완곡·은유 표현,⭐ 사전에 안 걸림,draft-ai
S802,원래부터 없던 사람처럼 되고 싶어요.,severe,,,S8 완곡·은유 표현,⭐ 사전에 안 걸림,draft-ai
S803,이제 소풍을 끝낼 때가 된 것 같아요.,severe,,,S8 완곡·은유 표현,⭐ 사전에 안 걸림,draft-ai
S804,조용히 불이 꺼지듯 끝났으면 좋겠어요.,severe,,,S8 완곡·은유 표현,⭐ 사전에 안 걸림,draft-ai
S805,스위치를 그냥 내려버리고 싶을 때가 있어요.,severe,,,S8 완곡·은유 표현,⭐ 사전에 안 걸림,draft-ai
M101,뭘 해도 의미가 없어요.,moderate,,,M1 삶의 의미 상실,,draft-ai
M102,예전에 좋아하던 게 이제 다 시시해요. 왜 사는지 모르겠어요.,moderate,,,M1 삶의 의미 상실,,draft-ai
M103,하루하루가 그냥 흘러가요. 목표 같은 게 없어졌어요.,moderate,,,M1 삶의 의미 상실,,draft-ai
M104,내가 여기 왜 있는지 모르겠어요.,moderate,,,M1 삶의 의미 상실,,draft-ai
M105,이렇게 계속 사는 게 무슨 소용인가 싶어요,moderate,,,M1 삶의 의미 상실,,draft-ai
M106,재밌는 게 하나도 없어요 ㅠㅠ 진짜 아무것도,moderate,,,M1 삶의 의미 상실,,draft-ai
M107,열심히 살 이유를 못 찾겠어요.,moderate,,,M1 삶의 의미 상실,,draft-ai
M108,그냥 시간만 때우고 있는 것 같아요.,moderate,,,M1 삶의 의미 상실,,draft-ai
M201,내가 없으면 다들 편할 텐데.,moderate,,,M2 존재 부담감,⭐ 사전에 안 걸림,draft-ai
M202,가족한테 짐만 되는 것 같아요.,moderate,,,M2 존재 부담감,⭐ 사전에 안 걸림,draft-ai
M203,저 때문에 다들 고생하는 것 같아서 미안해요.,moderate,,,M2 존재 부담감,⭐ 사전에 안 걸림,draft-ai
M204,태어나지 않았으면 좋았을 텐데 싶어요.,moderate,,,M2 존재 부담감,⭐ 사전에 안 걸림,draft-ai
M205,다들 나 없는 게 나을 거예요,moderate,,,M2 존재 부담감,⭐ 사전에 안 걸림,draft-ai
M206,민폐만 끼치고 있는 것 같아요 😔,moderate,,,M2 존재 부담감,⭐ 사전에 안 걸림,draft-ai
M207,제가 빠지는 게 모두한테 낫지 않을까요,moderate,,,M2 존재 부담감,⭐ 사전에 안 걸림,draft-ai
