id,text,label,labeler_a,labeler_b,category,note,source
N001,배고파 죽겠다,no,no,no,관용 표현,,team
N002,아 웃겨 죽겠네,no,no,no,관용 표현,,team
N003,더워 죽겠어요,no,no,no,관용 표현,,team
N004,이 일 그만두고 싶어요,no,low,low,업무 맥락,,team
N005,회사를 그만두고 싶다는 생각이 자주 들어요,low,low,moderate,업무 맥락,,team
N006,자퇴하고 싶다는 생각을 했어요,low,low,moderate,학업 맥락,,team
N007,예전에 많이 힘들었는데 지금은 괜찮아요,no,low,no,과거 회상,,team
N008,작년에는 정말 지쳤었죠,no,low,no,과거 회상,,team
N009,친구가 힘들어해서 걱정이에요,no,low,low,제3자,,team
N010,동생이 요즘 우울해 보여요,no,low,low,제3자,,team
N011,드라마에서 주인공이 죽는 장면이 슬펐어요,no,no,no,미디어·창작,,team
N012,소설 쓰는데 우울한 인물을 표현하고 싶어요,no,no,no,미디어·창작,,team
N013,오늘 좀 우울해요,low,low,moderate,일반 부정 감정,,team
N014,요즘 아무것도 하기 싫어요,low,low,moderate,일반 부정 감정,,team
N015,너무 지쳤어요,low,low,moderate,일반 부정 감정,,team
N016,오늘 산책했어요,no,no,no,일상,,team
N017,점심 뭐 먹을지 고민이에요,no,no,no,일상,,team
N018,이 회의는 의미가 없어요,no,no,no,일상,,team
N019,요즘 잠을 잘 못 자요,low,low,moderate,신체 증상,,team
N020,입맛이 없어서 밥을 잘 못 먹어요,low,moderate,moderate,신체 증상,,team
S101,죽고 싶어요. 더는 못 버티겠어요.,severe,severe,,S1 직접적 의도 표현,사전에 걸림 — 기준선 확인용,team
S102,아 매일아침에 눈만뜨면 일어나기 싫다,severe,moderate,severe,S1 직접적 의도 표현,사전에 걸림 — 기준선 확인용,team
S103,요즘 심각하게 극단적인 생각을 하고있어..,severe,,severe,S1 직접적 의도 표현,사전에 걸림 — 기준선 확인용,team
S104,그냥 사라지고 싶어요. 이 세상에서 없어지고 싶어요.,severe,severe,,S1 직접적 의도 표현,사전에 걸림 — 기준선 확인용,team
S105,아 진짜 죽고싶다,severe,severe,severe,S1 직접적 의도 표현,사전에 걸림 — 기준선 확인용,team
S106,아.. 살기 싫어.. 사는게 아무 의미가 없어..,severe,,severe,S1 직접적 의도 표현,사전에 걸림 — 기준선 확인용,team
S201,이번 주말에 다 끝낼 생각이에요.,severe,severe,,S2 시점이 붙은 의도,뭘 끝내는지 모름. 검수 중 no로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
S202,다음 달 월세는 안 내도 될 것 같다,severe,severe,no,S2 시점이 붙은 의도,「이번 주말에」처럼 때가 드러나게,team
S203,이번 학기만 마치고 정리하려구.. 날짜도 정했어,severe,,severe,S2 시점이 붙은 의도,「이번 주말에」처럼 때가 드러나게,team
S204,생일 지나면 실행할 거예요. 그날까지만 참을게요.,severe,severe,,S2 시점이 붙은 의도,「이번 주말에」처럼 때가 드러나게,team
S205,오늘 막날이다,severe,severe,no,S2 시점이 붙은 의도,「이번 주말에」처럼 때가 드러나게,team
S301,어떻게 하면 덜 아프게 할 수 있는지 계속 찾아보고있어,severe,,severe,S3 방법 언급,⚠ 구체적 방법 금지. 「알아봤다」 수준까지,team
S302,관련된 글을 며칠째 검색하고 있어요. 어떤 게 확실한지 알아보는 중이에요.,severe,severe,,S3 방법 언급,⚠ 구체적 방법 금지. 「알아봤다」 수준까지,team
S303,아 필요한거 거의다모았다,severe,severe,no,S3 방법 언급,⚠ 구체적 방법 금지. 「알아봤다」 수준까지,team
S304,인터넷에서 찾아 본 방법이 계속 생각나,severe,,severe,S3 방법 언급,⚠ 구체적 방법 금지. 「알아봤다」 수준까지,team
S305,자해할 도구를 사놨어요.,severe,severe,,S3 방법 언급,⚠ 구체적 방법 금지. 「알아봤다」 수준까지,team
S401,통장 비밀번호 남겨놨다,severe,severe,severe,S4 준비 행동,"물건·서류·계정 정리, 무언가를 모으는 행위",team
S402,방을 싹 다 정리했어. 이제 남길 게 없네,severe,,severe,S4 준비 행동,"물건·서류·계정 정리, 무언가를 모으는 행위",team
S403,SNS 계정 다 지웠어요. 이제 정리할 것도 별로 없네요,severe,severe,,S4 준비 행동,"물건·서류·계정 정리, 무언가를 모으는 행위",team
S404,엄마한테 보험 다알려줬다.,severe,severe,severe,S4 준비 행동,"물건·서류·계정 정리, 무언가를 모으는 행위",team
S405,유서를 쓰다가 지웠어. 쓰고 싶은 말도 없네,severe,,severe,S4 준비 행동,"물건·서류·계정 정리, 무언가를 모으는 행위",team
S501,그동안 고마웠어요. 잘 지내세요.,severe,severe,,S5 작별 인사,⭐ 사전에 안 걸림,team
S502,마지막이다. 더 안올것같다,severe,severe,severe,S5 작별 인사,⭐ 사전에 안 걸림,team
S503,그동안 얘기 들어줘서 진짜 고마웠어 잘 지내 🙂,severe,,severe,S5 작별 인사,⭐ 사전에 안 걸림,team
S504,다들 행복하게 지냈으면 좋겠어요. 저는 이만 갈게요.,severe,severe,,S5 작별 인사,⭐ 사전에 안 걸림,team
S505,마지막으로 한 번만 얘기하고 싶었어 고맙다!,severe,severe,severe,S5 작별 인사,⭐ 사전에 안 걸림,team
S601,"고양이는 언니한테 부탁하려고, 내가 없어도 언니가 잘 돌봐주겠지",severe,,severe,S6 신변 정리 암시,⭐ 사전에 안 걸림,team
S602,아끼던 물건들 친구들한테 하나씩 나눠줬어요.,severe,severe,,S6 신변 정리 암시,⭐ 사전에 안 걸림,team
S603,강아지 사료를 넉넉히 사뒀어 한동안 뭐 일 없겠지,severe,severe,severe,S6 신변 정리 암시,⭐ 사전에 안 걸림,team
S604,집 열쇠를 집주인한테 미리 맡겨뒀어.,severe,,no,S6 신변 정리 암시,⭐ 사전에 안 걸림,team
S701,어제도 팔을 그었어요.,severe,severe,,S7 자해 (현재·직후),,team
S702,자해한 지 사흘 됐어 뭐 흔적은 없겠지,severe,severe,severe,S7 자해 (현재·직후),,team
S703,스스로를 아프게 하면 좀 나아져. 요즘 더 자주 그런것 같아,severe,,severe,S7 자해 (현재·직후),,team
S704,지금 피가 나는데 어떻게 해야 할지 모르겠어요.,severe,severe,,S7 자해 (현재·직후),,team
S705,담배빵 자꾸 늘어나네,severe,severe,severe,S7 자해 (현재·직후),,team
S801,긴 잠을 자고 싶어. 다시 깨지 않는 아주 긴 잠 말이야,severe,,severe,S8 완곡·은유 표현,⭐ 사전에 안 걸림,team
S802,원래부터 없던 사람처럼 되고 싶어요.,severe,moderate,,S8 완곡·은유 표현,⭐ 사전에 안 걸림,team
S803,이제 재미는일은 끝났다.,severe,severe,low,S8 완곡·은유 표현,⭐ 사전에 안 걸림,team
S804,조용히 아무도 모르게 불이 꺼지듯 끝났으면..,severe,,severe,S8 완곡·은유 표현,⭐ 사전에 안 걸림,team
S805,스위치를 그냥 내려버리고 싶을 때가 있어요.,severe,moderate,,S8 완곡·은유 표현,⭐ 사전에 안 걸림,team
M101,아무의미없네,moderate,moderate,moderate,M1 삶의 의미 상실,,team
M102,예전에 좋아하던 게 이제 다 시시해요. 왜 사는지 모르겠어요.,moderate,,severe,M1 삶의 의미 상실,단순 우울감인. 검수 중 low로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
M103,하루하루 의미 없이 흘러가고 목표도 없어.,moderate,low,,M1 삶의 의미 상실,low — 스스로 주도적으로 할 수 있는게 없음. 검수 중 low로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
M104,아 집에 가고싶다 뭐하고 있는지를 모르겠네,moderate,low,low,M1 삶의 의미 상실,,team
M105,이렇게 계속 사는 게 무슨 의미가 있나 싶네,moderate,,severe,M1 삶의 의미 상실,,team
M106,재밌는 게 하나도 없어요 ㅠㅠ 진짜 아무것도,moderate,low,,M1 삶의 의미 상실,low — 스스로 주도적으로 할 수 있는게 없음. 검수 중 low로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
M107,열심히 살아 뭐하냐,moderate,low,severe,M1 삶의 의미 상실,,team
M108,그냥 시간만 때우고 있는 것 같아,moderate,,low,M1 삶의 의미 상실,검수 중 low로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
M201,내가 없으면 다들 편할 텐데.,moderate,moderate,,M2 존재 부담감,moderate — 자존감 밑바닥. 계획을 세우는 단계일 수 있음.,team
M202,가족한테 미안하네 일만 늘어나서,moderate,moderate,severe,M2 존재 부담감,⭐ 사전에 안 걸림,team
M203,나 때문에 다들 고생하는 것 같아 너무 미안하더라고,moderate,,low,M2 존재 부담감,⭐ 사전에 안 걸림,team
M204,태어나지 않았으면 좋았을 텐데 싶어요.,moderate,moderate,,M2 존재 부담감,moderate — 자존감 밑바닥.  계획을 세우는 단계일 수 있음.,team
M205,내가 살아서 뭐하냐,moderate,moderate,severe,M2 존재 부담감,⭐ 사전에 안 걸림,team
M206,민폐만 끼치고 있는 것 같아.. 😔,moderate,,moderate,M2 존재 부담감,⭐ 사전에 안 걸림,team
M207,제가 빠지는 게 모두한테 낫지 않을까요,moderate,moderate,,M2 존재 부담감,"no↔low — 문맥이 중요함. 배려심에서 나온 말 일 수 있음. 허나, 보통 이런 부정적인 말을 자주 하는 사람들은 무기력할 수 있음.. 검수 중 no로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복",team
M208,나때문에 분위기 이상하네,moderate,moderate,low,M2 존재 부담감,⭐ 사전에 안 걸림,team
M301,나아질 것 같지가 않네,moderate,,moderate,M3 무망감·미래 없음,,team
M302,앞으로도 계속 이럴 것 같아요. 달라질 게 없어요.,moderate,moderate,,M3 무망감·미래 없음,low — 예측 불가능한 미래의 압박감으로 인한 우울감. 하지만 그래서 포기했는지를 알아야 함.. 검수 중 low로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
M303,노력해봐야 거기서 거기여,moderate,low,moderate,M3 무망감·미래 없음,,team
M304,기대하면 뭐해.. 내년에도 똑같겠지...,moderate,,moderate,M3 무망감·미래 없음,,team
M305,터널 끝이 안 보여요.,moderate,moderate,,M3 무망감·미래 없음,no — 터널이란 표현은 요새 잘 쓰지 않아서. 실제 터널을 의미할 확률이 높음.. 검수 중 no로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
M306,뭘 해도 항상 똑같네,moderate,moderate,moderate,M3 무망감·미래 없음,,team
M307,좋아질거란 말이 이제 안믿겨요,moderate,,moderate,M3 무망감·미래 없음,,team
M308,미래를 생각하면 그냥 캄캄해요.,moderate,moderate,,M3 무망감·미래 없음,low — 이상과 현실 사이에서 무력감을 느낌. 검수 중 low로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
M401,심심한데 연락할놈이 없네,moderate,no,low,M4 극심한 고립감,,team
M402,하루종일 아무랑도 한 마디도 안한게 벌써 며칠째인지..,moderate,,moderate,M4 극심한 고립감,,team
M403,저를 걱정해주는 사람이 없어요.,moderate,moderate,,M4 극심한 고립감,low — 자존감 밑바닥. 검수 중 low로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
M404,아 세상에 나혼자같다,moderate,moderate,moderate,M4 극심한 고립감,,team
M405,핸드폰을 봐도 올 연락이 없네요,moderate,,moderate,M4 극심한 고립감,,team
M406,다들 저를 잊은 것 같아요.,moderate,moderate,,M4 극심한 고립감,low — 자존감 밑바닥. 검수 중 low로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
M407,말할곳이 여기뿐이네,moderate,moderate,moderate,M4 극심한 고립감,,team
M501,자고나면 다시 눈뜨기 싫어,moderate,,severe,M5 죽음에 대한 수동적 사고,⭐ 사전에 안 걸림,team
M502,아침에 눈이 안 떠졌으면 해요.,severe,moderate,,M5 죽음에 대한 수동적 사고,severe — 계획을 세웠을 가능성이 큼.,team
M503,사고라도 났으면...,moderate,moderate,severe,M5 죽음에 대한 수동적 사고,⭐ 사전에 안 걸림,team
M504,큰 병에 걸리면 더 살지 않아도 될텐데,moderate,,severe,M5 죽음에 대한 수동적 사고,⭐ 사전에 안 걸림,team
M505,오래 살고 싶지 않아요.,moderate,moderate,,M5 죽음에 대한 수동적 사고,moderate — 그래도 주변에 남은 미련이 있어보임.,team
M506,걍 사라지고 싶다,moderate,moderate,severe,M5 죽음에 대한 수동적 사고,⭐ 사전에 안 걸림,team
M507,내일이 안 오면 좋겠어,moderate,,severe,M5 죽음에 대한 수동적 사고,⭐ 사전에 안 걸림,team
